Id,CATEGORY,HOUSEHOLD_WEIGHT,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,ZINC,SODIUM,VITAMIN_A,VITAMIN_C,VITAMIN_E,VITAMIN_K
163,CARROT JUICE,236,40,.95,9.28,.800000012,.15,.027,24,.46,.18,29,19124,8.5,1.16,15.5
164,CARROTS,130.9454545,32,.68,7.220909091,2.563636346,.291818182,.049727273,31.18181818,.517272727,.267272727,135.1818182,14400.18182,2.927272727,.75,12.18181818
165,CASHEW BUTTER,16,587,17.56,27.57,2,49.41,9.763,43,5.03,5.16,314.5,0,0,.46,17.35
166,CASHEW NUTS,133.04,577.25,16.075,31.3525,3.149999976,47.06,8.8175,44,6.025,5.475,244.25,0,.15,.92,34.7
167,CASSAVA,206,160,1.36,38.06,1.799999952,.28,.074,16,.27,.34,14,13,20.6,.19,1.9
168,CATFISH,138.2,143.2,17.442,1.608,.139999998,6.922,1.6622,17.4,.68,.754,101.2,45.6,.58,.24,.02
169,CATSUP,240,97,1.74,25.15,.300000012,.31,.043,18,.51,.26,20,933,15.1,1.46,2.8
170,CATTAIL,0,25,1.18,5.14,4.5,0,0,54,.91,.24,109,11,.7,0,22.8
171,CAULIFLOWER,120.4444444,25.11111111,2.213333333,4.862222222,2.733333323,.292222222,.045444444,23,.512222222,.327777778,98.66666667,56.22222222,53.3,.05,11.37777778
172,CAVIAR,16,252,24.6,4,0,17.9,4.06,275,11.88,.95,1500,905,0,1.89,.6
173,CELERIAC,155.3333333,32,1.14,7,1,.226666667,.026333333,31.66666667,.52,.243333333,152.6666667,0,5.066666667,.12,13.66666667
174,CELERY,133.8,17.33333333,.783333333,3.656666667,1.600000024,.163333333,.040666667,41.33333333,.346666667,.136666667,166,497,5.1,.323333333,34.96666667
175,CELERY FLAKES,0,319,11.3,63.7,27.79999924,2.1,.555,587,7.83,2.77,1435,1962,86.5,5.55,584.2
176,CELTUCE,8,18,.85,3.65,1.700000048,.3,0,39,.55,.27,11,3500,19.5,0,0
177,CEREAL RTE,32,388,7.1,86,7.300000191,3.5,.688,28,1.15,1.5,12,0,0,.1,0
178,CEREAL WAFER STRAWS,31,438.6666667,5.666666667,78,.5,11.53333333,6,13,.533333333,.133333333,49.66666667,1612,0,0,0
179,CEREALS,126.3969697,217.1212121,6.21030303,44.75507576,4.088636373,2.175227273,.401030303,112.8560606,7.803939394,1.190681818,244.8712121,747.9090909,2.812878788,1.437575758,.731818182
180,CEREALS READY TO EAT,0,388.5,4.73,87.95,1.799999953,2,.2625,220,14.715,9.05,590.5,1703.5,36.25,.25,1.25
181,CEREALS RTE,37.3195189,377.2611684,8.272199313,81.1728866,7.047422676,4.236426117,.938536082,150.0137457,17.18195876,8.00742268,472.2886598,1365.690722,19.93883162,3.031512027,1.224742268
182,CERLS,89,265.2,6.71,54.016,3.759999919,3.452,1.0816,112,14.472,.786,837,705.6,.04,.742,.76
183,CHARD,128.6666667,19.66666667,1.853333333,4,1.933333278,.12,.014,55.66666667,2.106666667,.34,269,6121.333333,22,1.89,494.8666667
184,CHAYOTE,150.6666667,21.66666667,.686666667,4.7,2.433333317,.363333333,.066666667,14.33333333,.26,.453333333,80,31.33333333,7.9,.04,1.366666667
185,CHEESE,117.5410959,291.4931507,21.86410959,3.69890411,.038356164,20.93616438,13.22165753,590.890411,.455068493,2.493561644,697.7260274,654.2876712,.160273973,.188356164,1.820547945
186,CHEESE FD,49.5125,328,19.8975,6.985,0,24.595,15.295,591,.7125,3.185,1344.75,771,0,.11,.85
187,CHEESE FOOD,0,137,22.4,8.8,0,1.3,.81,552,.91,3.29,1239,39,0,.01,.2
188,CHEESE PRODUCT,0,240,17.6,10.6,0,14.1,8.85,529,.2,2.36,1587,961,0,.27,2.7
189,CHEESE PUFFS&TWISTS,28.35,432,8.5,72.35,10.69999981,12.1,2.1,357,1.28,2.14,1285,250,21.4,4.25,1.1
190,CHEESE SAU,243,197,10.33,5.48,.100000001,14.92,8.034,311,.35,1.26,493,606,.6,0,0
191,CHEESE SPRD,136.1166667,291.6666667,13.30666667,6.986666667,0,23.68666667,14.89133333,398.3333333,.596666667,1.896666667,1214.333333,867.6666667,0,.32,1.4
192,CHEESE SUB,113,248,11.47,23.67,0,12.22,3.711,610,.4,1.92,685,1457,.1,.11,1
193,CHEESECAKE PREP FROM MIX,28.35,274,5.5,35.5,1.899999976,12.7,6.691,172,.47,.46,380,366,.5,0,0
194,CHEESEFURTER,100,328,14.1,1.51,0,29,10.47,58,1.08,2.25,1082,157,0,.24,1.6
195,CHEF BOYARDEE BEEFARONI,257,92,3.3,13.58,.5,2.67,1.16,11,.67,0,373,112,0,0,0
196,CHEF BOYARDEE BF RAVIOLI IN TOMATO & MEAT SAU,244,92,3.3,13.58,.5,2.67,1.16,11,.67,0,373,112,0,0,0
197,CHEF BOYARDEE MINI RAVIOLI,252,92,3.27,12.36,1,3.24,1.37,12,1.02,0,371,165,0,0,0
198,CHEF BOYARDEE SPAGHETTI & MEATBALLS IN TOMATO SAU,257,100,4.37,11.9,1.399999976,3.88,1.59,11,.82,0,360,0,.6,0,0
199,CHERIMOYA,312.11,74,1.65,17.7,2.299999952,.62,0,8,.3,.18,4,0,11.5,0,0
