Id,AGE,GENDER,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,SODIUM,ZINC,VITAMIN_A,VITAMIN_E,VITAMIN_C,VITAMIN_K
1,1,Male,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
2,2,Male,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
3,3,Male,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
4,1,Female,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
5,2,Female,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
6,3,Female,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
7,4,Female,1000,13,130,14,7,.7,7,7,15,3,3,6,15,30
8,5,Female,1200,19,130,16.8,10,.9,10,10,19,5,4,7,25,55
9,6,Female,1200,19,130,16.8,10,.9,10,10,19,5,4,7,25,55
10,7,Female,1200,19,130,16.8,10,.9,10,10,19,5,4,7,25,55
11,8,Female,1200,19,130,16.8,10,.9,10,10,19,5,4,7,25,55
12,4,Male,1600,19,130,19.6,10,.9,10,10,19,5,4,7,25,55
13,5,Male,1600,19,130,19.6,10,.9,10,10,19,5,4,7,25,55
14,6,Male,1600,19,130,19.6,10,.9,10,10,19,5,4,7,25,55
15,7,Male,1600,19,130,19.6,10,.9,10,10,19,5,4,7,25,55
16,8,Male,1600,19,130,19.6,10,.9,10,10,19,5,4,7,25,55
17,9,Female,1600,34,130,22.4,10,1,13,8,22,8,6,11,45,60
18,10,Female,1600,34,130,22.4,10,1,13,8,22,8,6,11,45,60
19,11,Female,1600,34,130,22.4,10,1,13,8,22,8,6,11,45,60
20,12,Female,1600,34,130,22.4,10,1,13,8,22,8,6,11,45,60
21,13,Female,1600,34,130,22.4,10,1,13,8,22,8,6,11,45,60
22,9,Male,1800,34,130,25.2,12,1.2,13,8,22,8,6,11,45,60
23,10,Male,1800,34,130,25.2,12,1.2,13,8,22,8,6,11,45,60
24,11,Male,1800,34,130,25.2,12,1.2,13,8,22,8,6,11,45,60
25,12,Male,1800,34,130,25.2,12,1.2,13,8,22,8,6,11,45,60
26,13,Male,1800,34,130,25.2,12,1.2,13,8,22,8,6,11,45,60
27,14,Female,1800,46,130,25.2,11,1.1,13,15,23,9,7,15,65,75
28,15,Female,1800,46,130,25.2,11,1.1,13,15,23,9,7,15,65,75
29,16,Female,1800,46,130,25.2,11,1.1,13,15,23,9,7,15,65,75
30,17,Female,1800,46,130,25.2,11,1.1,13,15,23,9,7,15,65,75
31,18,Female,1800,46,130,25.2,11,1.1,13,15,23,9,7,15,65,75
32,14,Male,2800,52,130,30.8,16,1.6,13,11,23,11,9,15,75,75
33,15,Male,2800,52,130,30.8,16,1.6,13,11,23,11,9,15,75,75
34,16,Male,2800,52,130,30.8,16,1.6,13,11,23,11,9,15,75,75
35,17,Male,2800,52,130,30.8,16,1.6,13,11,23,11,9,15,75,75
36,18,Male,2800,52,130,30.8,16,1.6,13,11,23,11,9,15,75,75
37,19,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
38,20,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
39,21,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
40,22,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
41,23,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
42,24,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
43,25,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
44,26,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
45,27,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
46,28,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
47,29,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
48,30,Female,2000,46,130,28,12,1.1,10,18,23,8,7,15,75,90
49,19,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
50,20,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
51,21,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
52,22,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
53,23,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
54,24,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
55,25,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
56,26,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
57,27,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
58,28,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
59,29,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
60,30,Male,2600,56,130,33.6,17,1.6,10,8,23,11,9,15,90,120
61,31,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
62,32,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
63,33,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
64,34,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
65,35,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
66,36,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
67,37,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
68,38,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
69,39,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
70,40,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
71,41,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
72,42,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
73,43,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
74,44,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
75,45,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
76,46,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
77,47,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
78,48,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
79,49,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
80,50,Female,1800,46,130,25.2,12,1.1,10,18,23,8,7,15,75,90
81,31,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
82,32,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
83,33,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
84,34,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
85,35,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
86,36,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
87,37,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
88,38,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
89,39,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
90,40,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
91,41,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
92,42,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
93,43,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
94,44,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
95,45,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
96,46,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
97,47,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
98,48,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
99,49,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
100,50,Male,2200,56,130,30.8,17,1.6,10,8,23,11,9,15,90,120
101,51,Female,1600,46,130,22.4,11,1.1,12,8,23,8,7,15,75,90
102,51,Male,2000,56,130,28,14,1.6,12,8,23,11,9,15,90,120
